district,id,title,publishedAt,viewCount,likeCount,commentCount
서초3동,sHM0M48MjIg,올 해 먹었던 중식 중 원탑이었는데 #짬뽕 #마파두부 #짬뽕맛집,2024-12-09T08:36:27Z,8870455,107029,765
서초3동,MfPvRM3Azs8,올 해 먹었던 짬뽕중 원탑 ! #짬뽕 #짬뽕맛집,2024-10-17T09:30:55Z,7405560,83163,476
서초3동,ufMxMPYJMuk,마지막까지 킹받네 #커플공감 🏠교대패 육회김밥 #개그 #comedyvideo #냉삼맛집 #교대맛집 #서울맛집_다겸 #koreandrama #킹받네 #커플 #플러팅,2025-04-01T11:01:10Z,2888404,,78
서초3동,H8kJSOD_JAY,서울 중식 맛집은 이 영상으로 해결하세요 !,2025-06-02T09:50:02Z,1696839,14113,136
서초3동,8rX0Y0Y1rEI,법원 가는 길목 찌개 맛집! 점심시간은 한 시간 뭘 먹지? [ENG],2023-04-14T08:30:02Z,574544,8398,360
서초3동,vThMM_rpcuU,성시경 먹을텐데 서울 맛집 TOP 12 - 실제 다녀온 사람들의 후기가 가장 좋았던 연예인 성시경 맛집 입니다,2024-07-22T07:35:35Z,517783,3044,72
서초3동,ktintBMillk,단체손님 #단체손님 #교대역맛집 #교대맛집 #교대역고기집 #압구정화로구이 #킹벤져스 #장민영 #쇼츠왕자 #킹워누,2025-07-19T16:00:14Z,60633,272,2
서초3동,Z3ibWAdH6F4,【교대맛집】오늘 말복! 이런 삼계탕 처음이지?『고독한 쑥삼계탕』(KOR/JPN sub),2025-08-09T09:00:47Z,29806,1874,145
서초3동,i_SoFMxLSmo,서초동 교대 아이언쉐프,2024-03-23T03:06:28Z,27982,760,73
서초3동,sGr7ACa772g,[Ep.49] 교대역 스키야키 소주 맥주 낮술 혼술 먹방 ! 야채 무한리필 스키야키 샤브샤브 맛집 !,2024-05-25T09:34:07Z,26374,988,184
서초3동,UYvlA_Jw6iI,서울 3대 삼계탕맛집 교대 3대 3계장인삼계탕,2024-08-26T22:53:32Z,26108,159,10
서초3동,B-FHJ3Fa-vU,교대의 축복 저세상 한식 오마카세 찐맛집! #교대맛집 #오마카세 #가성비,2025-04-30T06:49:05Z,24721,108,8
서초3동,jbv7UFfTn8U,"교대역 바로 앞 로컬맛집, 참치김밥ㄷㄷ",2024-12-09T02:01:51Z,23531,153,2
서초3동,8h5tJj0UcBg,교대역 맛집 서관면옥 #냉면먹방 #폭염 #시원한 여름 #서관면옥 #일상브이로그,2024-12-11T04:59:09Z,22868,85,5
서초3동,RATD7RzE1XQ,서울 서초구 맛집 9곳 #맛집 #서초맛집 #서초구맛집 #서울맛집,2024-09-13T04:25:26Z,16957,78,4
서초3동,MHM14WbBenQ,런닝맨 다녀간 말차탕 정체..? 서울 3대 삼계탕맛집 교대근처 3대삼계장인,2025-10-15T14:00:59Z,16704,80,7
서초3동,vIbeuWvS_3k,교대맛집🧑‍🎓🏫🧑‍🏫어디까지 가봤니?,2023-03-23T02:14:44Z,14586,37,0
서초3동,za1Mwu0mvJU,3대째 이어오는 서울 3대 닭볶음탕 맛집! #교대맛집 #서초맛집,2025-03-28T14:06:33Z,12681,54,2
서초3동,JfyR6al_Ijg,몽둥이 고기 실하누 ㅋㅋ #육통령 #교대맛집,2025-08-03T02:32:19Z,12450,29,1
서초3동,3neIJRljshQ,변호사 PICK 교대역 맛집은?! #서초동,2025-07-19T06:33:43Z,11654,58,1
서초3동,XBFqfDjiMEM,제대로 끓인 맑은 돼지국밥 (교대 유성옥) #교대맛집 #kfood #gukbap,2025-02-26T06:19:00Z,11383,,3
서초3동,ZCrDpqaJarU,#세광양대창 #양대창맛집 #교대맛집 #교대곱창 #곱창맛집 #곱창 #양대창 #갈비살 #shorts #koreanfood #koreafood #맛집 #맛집추천 #먹방 #맛집투어,2024-03-26T23:12:10Z,11008,21,2
서초3동,gpyRz8RZTbA,"소고기 단돈 8,900원 가성비 교대맛집 #압구정화로구이 #교대맛집 #교대회식 #가성비맛집",2025-05-25T09:01:30Z,10952,22,2
서초3동,gKK9KefdxS4,다 통으로 주는 맛집 #히아지 #교대맛집 #교대 #강남 #강남맛집 #장어구이 #사시미 #치킨난반 #하이볼맛집 #하이볼,2024-08-31T13:14:28Z,10747,65,0
서초3동,kIVUishhbUo,3대째 이어오고 있는 50년 찐맛집 백년가게 #3대삼계장인 #백년가게 #노포맛집 #교대맛집,2024-11-27T12:49:33Z,10635,58,1
서초3동,yJ0r8cza93w,서초동 변호사가 알려주는 교대역 맛집 #카페 #맛집 #디저트 #맛집추천 #서초동 #교대 #음식 #food #변호사 #변호사유튜버 #변호사유튜브 #일상의이변,2025-07-16T09:05:01Z,10262,158,10
서초3동,4IZm3RIwiPI,무려 3대가 이어온 3대삼계장인 #교대맛집 #서초맛집 #찐맛집 #찐노포 #노포맛집,2024-05-22T05:20:14Z,10066,44,3
서초3동,bonLbNhnJ4Y,칼국수계의 엽떡?! #다선칼국수 #교대역맛집 #교대맛집 #수원맛집,2024-07-12T09:16:03Z,9997,71,7
서초3동,zE9IZR82e7M,50년 전통 노포식당 강남서초 대표 삼계탕맛집 #교대맛집 #3대삼계장인 #삼계탕,2024-04-30T03:26:02Z,9946,45,4
서초3동,dyUHk5xklyI,교대곱창 불쇼…절대 곱창 먹지마.. #교대 #곱창 #불쇼 #맛집 #shorts,2023-04-18T10:43:45Z,9099,,7
서초3동,nanZR5XUV9Y,연예인들도 몰래다녀간다는 #교대역맛집,2024-12-22T02:04:01Z,9083,43,11
서초3동,RsCBxToa_ak,봄에 데이트하면 무조건 성공하는교대 맛집,2023-03-28T03:00:17Z,8934,156,6
서초3동,_ageAZ_LbQg,교대 직장인 추천 삼계탕 맛집🪧복날이 다가옵니닭🐓#서초구맛집 #서초맛집 #교대맛집 #교대역맛집 #교대역맛집추천 #교대역회식 #교대데이트 #bts,2024-07-12T09:01:16Z,8731,70,1
서초3동,164rErJ_yBA,교대 직장인들은 대부분 아는곳? #서초구맛집 #교대역,2025-08-19T23:47:56Z,8576,14,0
서초3동,tEi1m-wWiPw,서울에서 가장 핫한 삼계탕 맛집 #3대삼계장인 #교대역맛집 #서초 #삼계탕 #녹두삼계탕,2025-06-28T07:19:43Z,7603,115,6
서초3동,yFWMZ2DFomQ,뭐든지 크게 주는 교대 이자카야 술집?! #교대맛집,2024-09-14T05:04:13Z,7589,57,2
서초3동,_VabFLb0aw4,#봉쥬르봉봉 #교대맛집추천 #무제한다이닝펍 #주류무제한#교대역맛집추천 #강남맛집추천 #무한리필맛집 #가성비맛집추천 #맛집추천 #mukbang,2024-08-14T01:42:57Z,7438,93,1
서초3동,LSRBiK14ZqA,"7년 연속 미슐랭 소바집, 달인의 메밀을 말하다, 교대 ”미나미“",2024-09-08T02:11:46Z,7307,78,5
서초3동,2_hj7cs1LOk,김밥천국에서 혼밥하다가 급하게 영상찍었습니다. 교대역 '김밥천국',2024-10-17T12:01:06Z,7104,52,3
서초3동,bPGksfGAUXg,"소고기가 1인분 8,900원?😲👍🏻🥰 #압구정화로구이 #교대맛집 #서초동맛집",2025-05-28T04:37:26Z,6989,18,1
서초3동,LHYFCkRsTRs,국물 없는 부대찌개로 교대 직장인들 줄세움 ㄷㄷ;; #서병장 #교대맛집 #교대,2025-11-13T11:03:49Z,6862,31,5
서초3동,2Y4iMV5Y1Pw,교대 유성옥 돼지국밥_videolog (맑은 돼지국밥 ￼대박집￼ 주방 최초공개) Korean food gukbab boiling pork stew,2025-02-23T13:22:46Z,6803,,11
서초3동,IWja-QFGvkw,서울 교대역 1번 출구 맛집🍜 7곳 투어! | 아이폰12미니 | 4K 60fps #이모네해물보쌈 #승도리네곱도리탕 #에슬로우 #고메정식당 #비스트로8818 #오장동면옥 #오토김밥,2023-01-29T09:15:01Z,6525,18,1
서초3동,0Wn7RLC36HA,"3호선 신사역, 교대역, 양재역, 남부터미널역 맛집들입니다#서울맛집 #3호선맛집 #신사역맛집 #교대역맛집#양재역맛집 #남부터미널역맛집",2025-06-07T03:04:53Z,6502,55,5
서초3동,VgVhFKDF1sk,서울 교대역 맛집 10곳 마지막이야기,2024-05-23T08:30:09Z,6226,34,0
서초3동,WBPHJ_KjZRI,52년 노포 백년가게 #맛집 #맛집추천 #닭볶음탕 #닭도리탕 #교대 #교대맛집 #맛집리뷰 #치킨 #삼계탕 #서초구,2025-01-23T09:33:57Z,6177,38,1
서초3동,6IAt_AEI0V0,더워서 입맛이 읍어  #교대역맛집 #교대맛집 #강남맛집 #서초맛집 #교대역고기집 #최치타 #comedy #먹방 #서울맛집_다겸 #압구정화로구이,2025-07-18T11:00:14Z,6141,,2
서초3동,CcqfF3ONBck,솥밥 뚜껑 여는 재미가 쏠쏠한 #교대역점심맛집 #shorts,2023-04-26T23:00:04Z,5938,50,0
서초3동,15oxPFzNhWI,백수의 점심 서초동 '인하순대국' #서울맛집 #서초맛집 #교대맛집 #순대국밥 #소울푸드 #food #맛집 #여행 #한국의맛 #koreanfood #백수 #점심 #혼밥,2025-09-10T07:33:46Z,5519,20,1
서초3동,Sq2UJHpcd9w,교대역 먹자골목 #seoul #맛집 #서울교대 #강남,2025-05-04T01:46:00Z,5493,3,1
서초3동,D4W930Bq5PA,【교대맛집】 전기구이의 충격적 최종 진화! #전기구이 #맛집 #교대,2025-08-21T03:00:12Z,5420,194,6
서초3동,PnenkHGugIw,"교대역 생선구이,회코스 어다미.",2024-06-11T05:32:34Z,5134,22,4
서초3동,1eERE9Sr_tQ,【교대맛집】고기의 부드러움이 차원이 다르다!  #삼계탕 #맛집 #교대,2025-08-19T03:00:05Z,5107,152,6
서초3동,u4IO9KI2J8w,#교대역맛집 #교대역술집 #서초동맛집 #만두 #만두맛집,2025-12-20T12:55:48Z,5101,15,3
서초3동,fJaUQ6x0zqg,서울 교대역 맛집 10곳 네번째이야기,2024-05-23T02:30:16Z,5077,25,0
서초3동,tNe4XACPcik,한국에 숨겨진 카츠산도 맛집 #카츠산도 #샌드위치 #가츠 #돈카츠 #교대맛집 #강남맛집 #돈까스 #japanesefood #koreanfood,2024-10-13T08:16:50Z,4919,27,1
서초3동,g11Di6zNhF4,다선칼국수로 달리러 가볼까?! #shorts #다선칼국수 #교대맛집 #교대역맛집,2024-06-26T13:48:15Z,4801,25,1
서초3동,x465P6ENVAc,오늘 점심은 곰탕 모두 맛있게 드세요. #곰탕 #교대맛집 #교대 #장털보한우곰탕 #shorts,2025-05-16T03:04:26Z,4768,5,0
서초3동,N7vdQSMbacw,요즘 캐비어 먹는법? 상어변신🥹제가 알려드립니다. #다선칼국수 #교대맛집 #교대칼국수 #서울맛집 #교대역맛집 #교대술집 #교대역점심 #서울맛집_다겸 #이색맛집 #캐비어칼국수,2024-08-08T02:30:22Z,4654,,0
서초3동,I0A3-zaPR1Y,#남부터미널맛집 #숙성회 #파스타 #이자카야호주 #이자카야 #교대역맛집,2025-02-23T04:41:09Z,4432,75,19
서초3동,5BzA3Oo1XqU,교대역주택가 작은골목에 위치한 맛집🫢Kasai 🥢ㅁㅣㄴㅕ소리꾼 김세윤의 맛집투어🩷 #서초동맛집 #교대맛집 #교대일식 #kasai,2025-04-02T06:53:54Z,4312,5,0
서초3동,16FiILWaXmw,삼복더위를 이겨내는법?! #삼계탕 #복날 #교대맛집 #서초맛집 #강남맛집 #닭볶음 #닭도리탕,2024-07-29T10:58:19Z,4107,37,4
서초3동,hUR4fxBN8Sg,주우재 완뚝 솥밥 맛집 #먹방 #솔솥교대역점,2024-08-15T04:01:21Z,4030,16,0
서초3동,cJThfJsz2vY,#돈까스 #돈까스맛집 #맛집 #교대맛집 #가츠오서울 #cutlet #cutletrecipe #foodie #crispy #ドンカツ #recipe #tuesday #food,2025-03-11T00:11:33Z,3974,12,0
서초3동,CxLTyUrBaWI,평일이든 주말이든 만석인 50년 전통 찐맛집🌟 #교대역맛집 #교대역맛집추천 #서초동맛집 #닭볶음탕 #닭볶음탕맛집 #전기구이통닭 #전기구이 #통닭,2025-02-06T08:17:26Z,3841,28,0
서초3동,EKXdUf6JCtA,수많은 연예인이 인정한 맛집 #교대맛집 #강남맛집 #흑돼지 #냉삼맛집 #냉삼 #shorts,2023-09-07T02:06:54Z,3753,22,0
서초3동,fX05BzhbGqQ,교대역 맛집 중식당 미슌과 미쉐린 가이드 서울 2023 쿤쏨차이,2023-05-21T13:33:34Z,3637,20,0
서초3동,tuMKYxNtPVY,교대에서 가장 핫한 밥집 #교대역맛집,2024-10-16T13:04:21Z,3462,10,0
서초3동,Ff5_SFtQf4s,#내돈내산 #횟집 #교대횟집 #교대역맛집 #교대수산 #콜키지프리,2025-05-31T14:54:00Z,3439,8,0
서초3동,xTLqW3PYYOM,50년 전통 노포식당 서울 3대 삼계탕 맛집 #삼계탕맛집 #3대삼계장인 #교대맛집 #교대회식 #서울노포식당,2025-06-08T02:05:52Z,3401,12,1
서초3동,BdgooPwOiBw,술이 술술 들어가는 교대역 숨은 안주 성지! #교대역맛집 #문어숙회,2025-04-09T05:50:36Z,3239,8,2
서초3동,6yddeiaF-zc,아웃백 긴장좀 해야겠누 #미테이블 #교대맛집,2025-08-20T11:12:50Z,3162,13,1
서초3동,FVlCl0PwLTU,"줄 서서 먹는 교대역 '3대삼계장인', 런닝맨도 반한 맛 feat. 클로바더빙 #교대맛집",2024-08-06T08:36:46Z,3102,12,1
서초3동,JhDw6rNM7vg,🥩공장형 한우 오마카세 말고 이젠 여기로 가세요💕 #한우오마카세 #서초맛집 #교대역맛집 #기념일맛집 #우마카세,2025-09-28T06:54:30Z,2994,,0
서초3동,vSvFdQQvJHk,제대로 끓인 맑은 돼지국밥 교대역 유성옥 #교대맛집 #서초맛집 #koreanfoodculture,2025-07-19T06:36:51Z,2992,8,0
서초3동,dONZdb6bYlM,해물찜 소짜 시켰는데 양 미쳤다;; 교대역 숨은 찐맛집,2025-07-02T03:10:13Z,2987,6,1
서초3동,i46xUL9FEeI,"서울 서초구, 청국장 찐 맛집 [마음은콩밭에]  #서울맛집 #서초구맛집 #서초동맛집 #교대역맛집   #서초구청국장 #서초동청국장 #교대역청국장  #청국장맛집 #서초구청국장맛집",2025-04-11T03:03:46Z,2974,9,1
서초3동,otyQOr2ohsg,먹으면서 힐링 가능한 솥밥💟 #교대맛집 #교대역맛집,2023-05-29T23:00:18Z,2928,16,0
서초3동,EslFJ2ddZPk,교대역 맛집 교대 오리 사냥😆,2023-09-06T00:24:54Z,2787,12,0
서초3동,qSug_jgxRvQ,#교대맛집 #교대역맛집 #교대중국집,2025-06-15T08:09:44Z,2735,3,0
서초3동,59OteM7F3hA,맛있는 한식주점 in 교대역 #우된장 #한식술집 #한식한판 #교대맛집 #교대역맛집 #교대밥집 #교대역밥집 #southkorea #streetfood,2025-08-29T11:09:48Z,2668,12,1
서초3동,Ed5NkEutSj4,친구랑 여름음식 전문점 뿌시기 #교대맛집 #고속터미널맛집,2023-07-10T09:02:30Z,2641,5,0
서초3동,y-yNM-WFNVE,이정도는 줘야 참치전문점이지 #교대맛집 #교대역맛집 #교대참치집 #나나마구로 #교대역참치집 #교대역회식,2025-07-12T04:06:11Z,2609,14,3
서초3동,KEXrzf-jmpM,월화수목금토일 솔솥과 함께해야하는 이유❤️ #서울교대맛집,2023-05-06T23:00:07Z,2605,15,0
서초3동,JS27dpnJ3WE,강남에서 즐기는 뉴욕 베이글 브런치 '델리백' | 교대역 맛집 | 강남역,2023-03-09T13:22:48Z,2476,24,0
서초3동,KW78vW_pAS0,오늘 점심은? #카츠공방 #서초맛집 #교대맛집 #카츠나베맛집 #돈까스 #서초돈까스맛집 #교대돈까스맛집 #서비스좋은교대맛집 #탄탄멘맛집 #나베맛집 #로즈카츠맛집 #예술의전당맛집,2023-08-16T02:57:59Z,2475,9,0
서초3동,FDlGG-Y9vvg,주인장 최애 메뉴 샤브샤브😘 #교대맛집 #교대역샤브샤브 #shorts,2023-04-27T23:00:04Z,2455,7,0
서초3동,i_Ma6gkWhBg,요즘 교대에서 가장 핫한 맛집 #교대역맛집 #솔솥교대역점 #food,2024-10-22T09:27:34Z,2318,10,0
서초3동,SArRfVFRirE,서초교대맛집 1티어 점심뷔페😋👍오늘은맥주점심특선,2024-06-20T02:20:04Z,2311,15,0
서초3동,2GnG4A0DjBo,[드라마 서초동 류혜영 분석] 매력넘치는 교대역 맛집 '밥지도'그리는 '밥정'변호사#류혜영  #서초동#서초동맛집#교대역맛집#tvn드라마,2025-07-18T02:07:00Z,2190,6,0
서초3동,6r6xz4dZn1c,교대역 맛집 '송계옥' 닭국수 전골 #shorts,2023-04-05T22:30:00Z,2124,11,1
서초3동,nJhOuBPjx9g,🎉교대역 줄 서서 먹는 맛집? 새로 오픈한 더진국 교대 직영점!,2024-03-20T07:03:18Z,2086,15,4
서초3동,OjJGKBFw1Ww,[교대맛집] 오마카세 스시야스다 런치,2024-03-03T10:31:39Z,2018,14,0
서초3동,POdVw_PBIBk,전복솥밥 맛있게 먹는법🧡 #교대회식 #교대맛집,2023-05-10T23:00:19Z,2017,13,0
서초3동,ZFBv2_-CSgA,고객 후기 모음집❤️‍🔥 #솔솥교대역점 #교대역맛집추천,2023-05-07T23:00:11Z,2007,9,0
서초3동,m0JIGuBMF0Q,서초법원 서울교대맛집​✔️상호명 : 교대 구내식당 | 뷔페식 점심9000원,2024-01-14T22:55:27Z,2006,18,0
서초3동,IPMycaEm0Aw,#서초동맛집 #떡볶이 맛집 #창화당 #교대맛집,2025-01-14T07:49:56Z,2000,11,1
서초3동,Ol8ZSqwESfE,#강남맛집 #닭볶음탕맛집 #3대삼계장인 #교대맛집추천,2024-11-30T18:53:32Z,1962,6,0
서초3동,9yt01zP73eI,교대역맛집｜생소갈비 한 판 먹으러 남영동양문 교대점,2023-07-20T19:40:23Z,1838,99,20
서초3동,TM4kEE3fMoE,#줄서는식당 #교대역맛집 #삼산회관 #돼지김치구이 #김치찌개 #맛집 #과식주의,2023-03-15T00:17:56Z,1836,7,0
